# Selection : patch(inlet)
# Faces  :    30
# Area   :    2.540000e-05
# Time        	areaAverage(p)	areaAverage(U)
0             	0.000000e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000119048   	1.540370e+04	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000183629   	-5.833770e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000244981   	7.890667e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000318327   	-1.607511e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000406343   	1.530909e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000508403   	-5.687813e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000612706   	-2.533364e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000718181   	-2.682185e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000824869   	-1.999565e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000934097   	-1.817321e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00104602    	-1.421492e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00116082    	-1.229548e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00127867    	-1.043977e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0013998     	-8.965169e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00152444    	-7.738533e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00165286    	-6.135531e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00178328    	-4.653694e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00191581    	-3.091328e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00205283    	-1.299750e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00219226    	-2.314554e-02	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00233421    	1.848260e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00247617    	2.619667e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
